Year,Air,Water
1880,-0.18,-0.071008019
1881,-0.1,0.02517994
1882,-0.12,-0.143395805
1883,-0.18,0.066953036
1884,-0.29,-0.357389035
1885,-0.34,-0.25259386
1886,-0.32,-0.255527633
1887,-0.37,-0.082452337
1888,-0.18,-0.022550223
1889,-0.11,-0.022252471
1890,-0.36,0.032033655
1891,-0.23,-0.179116259
1892,-0.28,0.008721324
1893,-0.32,-0.102909472
1894,-0.31,-0.108135884
1895,-0.23,-0.141395524
1896,-0.12,-0.168788098
1897,-0.11,-0.201425672
1898,-0.28,-0.183842218
1899,-0.18,-0.051655211
1900,-0.09,-0.183453535
1901,-0.16,-0.220196258
1902,-0.29,0.04664975
1903,-0.38,-0.393935129
1904,-0.48,-0.431191629
1905,-0.27,-0.129351819
1906,-0.22,-0.154476545
1907,-0.39,-0.33766096
1908,-0.43,-0.094545006
1909,-0.49,-0.047563805
1910,-0.44,-0.154378722
1911,-0.44,-0.166233599
1912,-0.37,-0.335899998
1913,-0.35,-0.188804069
1914,-0.16,-0.04850355
1915,-0.15,0.027913272
1916,-0.37,-0.081687938
1917,-0.47,-0.075537947
1918,-0.3,-0.101676344
1919,-0.28,-0.114639604
1920,-0.28,-0.126128278
1921,-0.2,-0.125790767
1922,-0.29,-0.083589498
1923,-0.27,-0.046362184
1924,-0.27,-0.020065804
1925,-0.22,0.124049441
1926,-0.11,0.043959237
1927,-0.22,0.13959684
1928,-0.2,0.049853936
1929,-0.36,0.188361734
1930,-0.16,0.144500669
1931,-0.09,0.116549243
1932,-0.16,0.089349367
1933,-0.29,0.002632509
1934,-0.12,0.195923741
1935,-0.2,0.091137563
1936,-0.15,0.278593959
1937,-0.03,-0.011569823
1938,0,0.191204769
1939,-0.02,-0.045246851
1940,0.12,0.091786255
1941,0.18,0.030327727
1942,0.06,-0.015123561
1943,0.09,-0.041018998
1944,0.2,0.030008564
1945,0.09,0.072464475
1946,-0.07,0.02937302
1947,-0.03,-0.066983482
1948,-0.11,0.097535326
1949,-0.11,-0.076869063
1950,-0.17,-0.048505617
1951,-0.07,-0.07050708
1952,0.01,-0.103156282
1953,0.08,0.005599496
1954,-0.13,-0.076859947
1955,-0.14,-0.027930392
1956,-0.19,-0.064314003
1957,0.05,-0.021368991
1958,0.06,0.007024797
1959,0.03,0.066002194
1960,-0.03,-0.098145765
1961,0.06,0.113165375
1962,0.03,-0.0822888
1963,0.05,-0.019129747
1964,-0.2,-0.050832829
1965,-0.11,-0.004383066
1966,-0.06,0.010517726
1967,-0.02,-0.022587874
1968,-0.08,0.004554354
1969,0.05,-0.023547291
1970,0.03,0.138369059
1971,-0.08,0.09360355
1972,0.01,0.009661486
1973,0.16,0.087234892
1974,-0.07,0.001359809
1975,-0.01,-0.127929515
1976,-0.1,0.021694406
1977,0.18,-0.065906304
1978,0.07,0.032228493
1979,0.16,0.10938656
1980,0.26,0.1584953
1981,0.32,0.120164002
1982,0.14,-0.003597687
1983,0.31,-0.12323542
1984,0.16,0.034164375
1985,0.12,0.01957414
1986,0.18,0.172438717
1987,0.32,0.105456422
1988,0.39,0.108602575
1989,0.27,0.181305095
1990,0.45,0.198027052
1991,0.41,0.087221644
1992,0.22,-0.219775074
1993,0.23,-0.12289384
1994,0.32,0.115153537
1995,0.45,0.120218454
1996,0.33,0.208733268
1997,0.47,0.171127403
1998,0.61,0.148534476
1999,0.38,0.250847129
2000,0.39,0.20014971
2001,0.53,0.210575256
2002,0.63,0.392661202
2003,0.62,0.251810183
2004,0.53,0.341160178
2005,0.68,0.415220242
2006,0.64,0.442811471
2007,0.66,0.431946175
2008,0.54,0.564633719
2009,0.66,0.477234649
2010,0.72,0.277892682
2011,0.61,0.466674516
2012,0.65,0.545723935
2013,0.68,0.543238413
2014,0.75,0.551334569
2015,0.9,NA
2016,1.01,NA
2017,0.92,NA
2018,0.85,NA
2019,0.98,NA
2020,1.01,NA
2021,0.85,NA
2022,0.89,NA
2023,1.17,NA
2024,1.28,NA
